#{"t_start": 1765005134.2260592, "env_id": "None"}
r,l,t
-0.227883,1,11.396147
-10.1,1,11.416568
-7.1,1,11.420612
-0.010268,1,11.435315
10.9,1,11.453673
-10.1,1,11.479234
-10.1,1,11.497835
-10.1,1,11.520722
-10.1,1,11.542793
10.9,1,11.561041
-7.1,1,11.564041
10.9,1,11.580548
-10.1,1,11.599339
-10.1,1,11.619831
-10.1,1,11.637307
-10.1,1,11.653208
-10.1,1,11.671276
10.9,1,11.691966
-10.1,1,11.714035
10.9,1,11.735767
10.9,1,11.758205
-10.1,1,11.77444
-10.1,1,11.792233
-10.1,1,11.812884
10.9,1,11.829563
10.9,1,11.846477
-0.178375,1,11.864153
10.9,1,11.88288
10.9,1,11.90398
-0.110808,1,11.920796
-10.1,1,11.944048
-10.1,1,11.962924
10.9,1,11.979005
0.043198,1,11.995397
-10.1,1,12.014137
10.9,1,12.03803
10.9,1,12.05563
10.9,1,12.07291
-10.1,1,12.087051
10.9,1,12.107189
-10.1,1,12.123133
-7.1,1,12.127683
-10.1,1,12.144217
10.9,1,12.16485
10.9,1,12.18643
10.9,1,12.203046
-10.1,1,12.224714
10.9,1,12.247243
-10.1,1,12.268651
-0.267848,1,12.294416
10.9,1,12.314386
-7.1,1,12.318449
-10.1,1,12.341522
-7.1,1,12.346804
-0.216453,1,12.36752
-10.1,1,12.39012
-7.1,1,12.395097
-7.1,1,12.398419
-10.1,1,12.418583
-10.1,1,12.436284
-0.091475,1,12.453915
10.9,1,12.47208
-0.205199,1,12.488391
-7.1,1,12.493021
10.9,1,12.50838
10.9,1,12.526046
10.9,1,12.543899
-0.151012,1,12.561099
-10.1,1,12.579918
10.9,1,12.598539
10.9,1,12.620353
10.9,1,12.638469
-10.1,1,12.655855
10.9,1,12.673502
10.9,1,12.690088
10.9,1,12.705776
-10.1,1,12.721336
-7.1,1,12.729165
-10.1,1,12.747686
10.9,1,12.770516
-10.1,1,12.788509
10.9,1,12.804275
-0.097094,1,12.817959
-10.1,1,12.83309
-10.1,1,12.847204
-10.1,1,12.860461
10.9,1,12.872459
-10.1,1,12.884445
-10.1,1,12.893032
-0.20679,1,12.90757
-0.08569,1,12.922896
-10.1,1,12.943097
10.9,1,12.958582
-0.308193,1,12.976716
10.9,1,12.996219
10.9,1,13.014214
-0.227942,1,13.034676
-10.1,1,13.054739
10.9,1,13.075459
-10.1,1,13.094976
10.9,1,13.111605
10.9,1,13.124667
10.9,1,13.137402
10.9,1,13.15024
10.9,1,13.163044
-10.1,1,13.17979
-10.1,1,13.195717
-10.1,1,13.212354
-7.1,1,13.214361
10.9,1,13.22548
-10.1,1,13.236622
10.9,1,13.243348
-10.1,1,13.268118
-0.250638,1,13.281054
10.9,1,13.292183
-10.1,1,13.30589
-0.294619,1,13.317527
10.9,1,13.331806
10.9,1,13.347497
-10.1,1,13.362067
-10.1,1,13.374118
10.9,1,13.37572
-10.1,1,13.40293
0.289728,1,13.416924
10.9,1,13.426301
10.9,1,13.446436
-10.1,1,13.458971
10.9,1,13.458971
10.9,1,13.476482
-0.204434,1,13.492466
-7.1,1,13.509245
-10.1,1,13.510453
-10.1,1,13.533146
-10.1,1,13.542403
10.9,1,13.559426
10.9,1,13.559426
10.9,1,13.582811
-7.1,1,13.586828
10.9,1,13.597616
-7.1,1,13.599623
-10.1,1,13.612614
-7.1,1,13.617532
10.9,1,13.631213
10.9,1,13.642992
-0.201496,1,13.655823
-7.1,1,13.660343
10.9,1,13.677848
10.9,1,13.693408
10.9,1,13.711167
10.9,1,13.731294
10.9,1,13.74736
10.9,1,13.764304
10.9,1,13.780392
-10.1,1,13.794825
-7.1,1,13.798877
-7.1,1,13.801878
-7.1,1,13.814993
10.9,1,13.831348
-7.1,1,13.835413
-10.1,1,13.84914
-10.1,1,13.860282
-10.1,1,13.879267
10.9,1,13.879267
10.9,1,13.90534
-7.1,1,13.910187
-7.1,1,13.913538
-10.1,1,13.927073
-10.1,1,13.942485
-10.1,1,13.957525
-10.1,1,13.969038
-0.247638,1,13.988281
10.9,1,14.009175
-10.1,1,14.029715
10.9,1,14.049502
10.9,1,14.063389
-10.1,1,14.080376
10.9,1,14.099287
-10.1,1,14.114198
-10.1,1,14.13205
-10.1,1,14.149791
-7.1,1,14.154015
-10.1,1,14.171535
10.9,1,14.1882
10.9,1,14.205763
10.9,1,14.223225
-10.1,1,14.24053
-10.1,1,14.258419
-10.1,1,14.276086
10.9,1,14.293811
10.9,1,14.312462
10.9,1,14.333183
-10.1,1,14.353094
10.9,1,14.372959
-7.1,1,14.377229
-10.1,1,14.397235
-0.200391,1,14.412709
-10.1,1,14.434304
10.9,1,14.455698
10.9,1,14.47483
10.9,1,14.494193
-7.1,1,14.499607
-10.1,1,14.517872
-7.1,1,14.519882
10.9,1,14.539137
10.9,1,14.558513
10.9,1,14.579671
-7.1,1,14.583691
-7.1,1,14.593657
10.9,1,14.609192
-10.1,1,14.621576
-10.1,1,14.636765
-10.1,1,14.653336
10.9,1,14.667875
-10.1,1,14.685875
-0.108356,1,14.700263
-7.1,1,14.714372
10.9,1,14.729609
